Fuel_Type,Transmission,Clean_Price,Clean_Kilometers,Year,Brand,Model
CNG,Manual,330000,46681,2019,Maruti,Baleno
Petrol,Manual,325000,73157,2017,Hyundai,Elite i20
CNG,Manual,450000,56574,2022,Tata,Tiago
CNG,Manual,67000,81140,2011,Hyundai,Santro Xing
Petrol,Manual,151000,66876,2013,Honda,Amaze
Petrol,Manual,380000,36482,2015,Hyundai,Creta
Petrol,Manual,300000,50705,2014,Honda,Amaze
Petrol,Manual,450000,26759,2015,Hyundai,Creta
CNG,Manual,350000,88548,2019,Tata,Tiago
Petrol,Manual,366000,105261,2015,Honda,City
Petrol,Manual,300000,60286,2019,Maruti,New Wagon-R
CNG,Manual,350000,89653,2021,Maruti,Alto
CNG,Manual,350000,116979,2018,Maruti,Wagon R 1.0
Petrol,Manual,220000,91638,2016,Hyundai,Grand i10
Petrol,Manual,350000,123621,2017,Hyundai,Elite i20
Petrol,Manual,440000,97621,2018,Honda,WR-V
Diesel,Manual,375000,30782,2016,Mahindra,XUV500
CNG,Manual,450000,82903,2020,Hyundai,GRAND I10 NIOS
Petrol,Manual,600000,65378,2019,Hyundai,Creta
Petrol,Missing Transmission,610000,50663,2021,Tata,NEXON
Petrol,Manual,638000,201953,2018,Hyundai,Creta
Petrol,Manual,700000,64992,2019,Honda,City
Diesel,Manual,300000,213436,2016,Honda,BR-V
Petrol,Manual,420000,26568,2020,Maruti,New Wagon-R
Petrol,Manual,430000,29957,2021,Hyundai,NEW I20
CNG,Manual,145000,94299,2013,Maruti,Alto 800
CNG,Manual,180000,100992,2014,Maruti,Wagon R 1.0
CNG,Manual,184000,128887,2013,Maruti,Wagon R 1.0
Petrol,Manual,169000,44801,2013,Maruti,Wagon R 1.0
Petrol,Manual,80000,15607,2011,Hyundai,Eon
Petrol,Manual,375000,57164,2020,Hyundai,AURA
Petrol,Manual,160000,80493,2012,Toyota,Etios
CNG,Missing Transmission,640000,90938,2019,Hyundai,Verna
Petrol,Manual,469000,18881,2022,Maruti,IGNIS
Diesel,Manual,940000,44451,2019,Mahindra,XUV500
CNG,Manual,127000,103553,2013,Maruti,Wagon R 1.0
CNG,Manual,135000,189385,2013,Maruti,Wagon R 1.0
Petrol,Manual,70000,97869,2012,Maruti,Alto
CNG,Manual,93000,90182,2013,Maruti,Zen Estilo
Petrol,Manual,85000,97764,2012,Maruti,Alto K10
CNG,Manual,261000,52581,2020,Maruti,Alto
CNG,Manual,180000,129978,2014,Maruti,Wagon R 1.0
Petrol,Manual,158000,44956,2011,Honda,City
Diesel,Manual,919999,45015,2021,Hyundai,Creta
Petrol,Manual,950000,22872,2021,Hyundai,Creta
Petrol,Manual,175000,98982,2013,Nissan,Terrano
CNG,Manual,161000,87084,2014,Maruti,Wagon R 1.0
Petrol,Manual,300000,88632,2017,Honda,City
Petrol,Manual,94000,38849,2012,Hyundai,i10
Petrol,Manual,132000,50730,2013,Maruti,Alto 800
Petrol,Manual,1150000,48323,2022,Hyundai,Creta
Petrol,Manual,170000,94412,2014,Maruti,Wagon R 1.0
Petrol,Manual,150000,96990,2012,Maruti,Swift
Diesel,Manual,900000,105945,2021,Hyundai,Creta
Petrol,Manual,189000,58526,2013,Maruti,Wagon R 1.0
Petrol,Missing Transmission,670000,66223,2023,Toyota,Glanza
CNG,Manual,360000,121486,2018,Hyundai,Xcent
Petrol,Manual,170000,82214,2015,Maruti,Wagon R 1.0
